OBJECTID,Fire80_Raster,X,Y,asp2,twi,tmaxjuly_2,tmax,soilmois,slope,ndvi,lulc,lake,evt_aug,elevation,road,river,pcp
8595,0,-1151330.124,2075666.106,1,-46,1,2,1,1,1,11,1,2,2,3,3,1
8596,0,-1162930.124,2075166.106,1,-46,1,2,1,1,1,11,1,2,2,3,3,1
8597,0,-1155130.124,2072866.106,1,-46,1,2,1,1,1,11,1,2,2,3,3,1
8598,0,-1155730.124,2072066.106,1,-46,1,2,1,1,1,11,1,2,2,3,3,1
8599,0,-1159930.124,2071366.106,1,-46,2,2,1,1,1,11,1,2,2,3,3,1
8600,0,-1150730.124,2069866.106,1,-46,2,2,1,1,1,11,1,2,2,3,3,1
8601,0,-1147430.124,2083266.106,1,-46,2,2,1,1,1,11,1,2,2,3,3,1
8602,0,-1147130.124,2076966.106,1,-46,1,2,1,1,1,11,1,2,2,3,3,1
8603,0,-1148730.124,2072766.106,1,-46,2,2,1,1,1,11,1,2,2,3,3,1
8604,0,-1150230.124,2070066.106,1,-46,2,2,1,1,1,11,1,2,2,3,3,1
8605,0,-847430.1237,2075566.106,5,-219,3,1,2,5,2,3,3,2,3,3,3,1
8606,0,-847330.1237,2071466.106,5,-219,3,1,2,5,2,3,3,2,3,3,3,1
8607,0,-836630.1237,2082866.106,5,-46,2,1,3,2,1,8,3,2,3,3,3,1
8608,0,-843930.1237,2072466.106,3,-219,3,1,2,5,2,3,3,2,3,3,3,1
8609,0,-592530.1237,2082466.106,2,-219,2,1,1,5,2,8,4,2,2,4,4,1
8610,0,-589830.1237,2075166.106,5,129,2,1,1,3,2,3,4,2,2,4,4,1
8611,0,-588030.1237,2080666.106,5,143,2,1,1,3,2,3,4,2,1,4,4,1
8612,0,-147130.1237,2070266.106,5,-6,1,1,1,2,1,8,4,2,1,4,5,1
8613,0,-146730.1237,2069466.106,2,-6,1,1,1,2,1,8,4,2,1,4,5,1
8614,0,-123730.1237,2080566.106,5,-6,1,1,1,3,2,3,4,2,1,4,5,1
8615,0,-89130.12372,2072166.106,2,-46,2,1,1,2,2,8,4,2,1,4,5,1
8616,0,-82930.12372,2080166.106,3,129,2,1,1,3,1,8,4,2,1,4,5,1
8617,0,30069.87628,2075666.106,4,129,2,1,1,2,1,8,4,2,1,4,4,1
8618,0,70469.87628,2081866.106,2,129,2,1,1,3,2,3,4,1,1,4,4,1
8619,0,254869.8763,2079066.106,2,-46,1,1,1,2,1,8,4,1,1,4,5,1
8620,0,366669.8763,2078266.106,5,-219,1,1,2,5,1,8,5,1,2,4,3,1
8621,0,370469.8763,2069466.106,5,-6,1,1,2,2,1,8,5,1,2,4,3,1
8622,0,500869.8763,2070866.106,4,143,1,1,2,3,1,8,5,1,2,4,4,1
8623,0,513369.8763,2075866.106,5,129,1,1,2,3,1,8,4,1,2,4,4,1
8624,0,521169.8763,2069866.106,5,143,1,1,2,3,1,8,4,1,2,4,4,1
8625,0,534769.8763,2071766.106,5,129,1,1,2,2,1,8,4,1,2,4,4,1
8626,0,538769.8763,2081166.106,4,129,1,1,2,3,1,8,4,1,2,4,4,1
8627,0,543869.8763,2075566.106,3,-6,1,1,2,2,1,8,4,1,2,4,4,1
8628,0,553169.8763,2069566.106,3,-219,1,1,2,4,1,8,4,1,2,4,4,1
8629,0,-2244830.124,2095466.106,5,143,1,2,1,4,1,10,4,1,5,3,5,4
8630,0,-2230730.124,2091066.106,5,-219,1,2,1,4,1,10,4,1,5,3,5,4
8631,0,-2219830.124,2094466.106,5,-219,1,2,1,5,1,10,4,1,5,3,5,4
8632,0,-2209930.124,2087066.106,4,-219,1,2,1,5,1,10,4,1,5,3,5,3
8633,0,-2130030.124,2089166.106,5,-219,1,2,4,5,1,8,4,2,5,1,5,2
8634,0,-2137830.124,2086866.106,3,-219,1,2,4,5,1,10,4,2,5,2,5,2
8635,0,-2113930.124,2093266.106,3,-219,1,3,3,5,1,9,4,2,5,1,5,2
8636,0,-1549130.124,2085266.106,5,-219,1,2,2,5,1,8,4,1,4,3,4,2
8637,0,-1165830.124,2093366.106,1,-46,2,2,1,1,1,11,1,2,2,3,2,1
8638,0,-1161230.124,2094566.106,1,-46,2,2,1,1,1,11,1,2,2,3,3,1
8639,0,-1157530.124,2094166.106,1,-46,2,2,1,1,1,11,1,2,2,3,2,1
8640,0,-1164730.124,2091766.106,1,-46,2,2,1,1,1,11,1,2,2,3,2,1
8641,0,-1153230.124,2086966.106,1,-46,1,2,1,1,1,11,1,2,2,3,2,1
8642,0,-1165430.124,2085266.106,1,-46,2,2,1,1,1,11,1,2,2,3,2,1
8643,0,-1161530.124,2084266.106,1,-46,1,2,1,1,1,11,1,2,2,3,3,1
8644,0,-1157930.124,2084266.106,1,-6,1,2,1,1,1,11,1,2,2,3,3,1
8645,0,-1095830.124,2089166.106,1,-46,1,2,1,1,1,11,1,2,2,3,3,1
8646,0,-809330.1237,2087966.106,3,129,2,1,3,3,2,8,3,2,3,3,4,1
8647,0,-606930.1237,2088666.106,2,-6,2,1,1,2,1,8,4,2,2,4,4,1
8648,0,-597630.1237,2097666.106,3,-219,2,1,1,5,2,3,4,2,2,4,4,1
8649,0,-598730.1237,2091766.106,2,-6,2,1,1,2,2,3,4,2,2,4,4,1
8650,0,-594930.1237,2090166.106,3,-219,2,1,1,5,2,3,4,2,1,4,4,1
8651,0,-596030.1237,2086266.106,3,-219,2,1,1,5,2,3,4,2,1,4,4,1
8652,0,-580130.1237,2096266.106,2,-6,2,1,1,4,2,3,4,2,1,4,4,1
8653,0,-579630.1237,2089466.106,3,-219,2,1,1,5,2,3,4,2,1,4,4,1
8654,0,-349930.1237,2089166.106,2,-46,2,1,1,2,2,8,5,2,1,4,5,1
8655,0,-347630.1237,2087566.106,2,129,2,1,1,2,2,8,5,2,1,4,5,1
8656,0,-342830.1237,2088666.106,2,-6,1,1,1,2,2,8,5,2,1,4,5,1
8657,0,-343930.1237,2087366.106,2,-6,2,1,1,2,1,8,5,2,1,4,5,1
8658,0,-107530.1237,2092866.106,4,-6,1,1,1,2,2,8,4,2,1,4,5,1
8659,0,-115730.1237,2091466.106,5,-6,1,1,1,3,1,3,4,2,1,4,5,1
8660,0,-99030.12372,2098166.106,5,-46,1,1,1,3,1,8,4,2,1,4,5,1
8661,0,-98730.12372,2084766.106,5,143,2,1,1,3,2,3,4,2,1,4,5,1
8662,0,-83230.12372,2093866.106,2,-6,2,1,1,2,1,8,4,2,1,4,5,1
8663,0,80269.87628,2095966.106,5,143,1,1,1,3,1,8,4,1,2,4,4,1
8664,0,81069.87628,2086266.106,4,143,1,1,1,4,1,8,4,1,2,4,4,1
8665,0,230769.8763,2096966.106,3,-219,1,1,1,4,1,8,5,1,2,4,5,1
8666,0,259969.8763,2083866.106,3,129,1,1,1,3,2,8,5,1,1,4,5,1
8667,0,374569.8763,2084766.106,2,129,1,1,2,3,1,8,5,1,3,4,3,1
8668,0,501369.8763,2098566.106,5,-6,1,1,2,3,1,8,4,1,2,4,3,1
8669,0,531069.8763,2090466.106,2,143,1,1,2,3,1,8,4,1,2,4,4,1
8670,0,543769.8763,2084366.106,5,143,1,1,2,3,1,8,4,1,2,4,4,1
8671,0,-2152930.124,2113066.106,3,-219,1,2,3,5,1,10,4,2,5,2,5,2
8672,0,-1159730.124,2099266.106,1,-46,2,2,1,1,1,11,1,2,2,3,2,1
8673,0,-886630.1237,2107566.106,5,-219,3,1,2,5,2,3,3,2,3,3,1,1
8674,0,-833430.1237,2109466.106,3,143,2,1,3,3,2,3,3,2,3,3,3,1
